名字,发表时间,分数,标题,连接
szk,2019/8/11 22:30,20,建议大家可以看看明日边缘,https://movie.douban.com/review/10399291
茵中有鹿,2019/8/11 22:29,40,上海堡垒值得观看,https://movie.douban.com/review/10399288
豆友201712371,2019/8/11 22:28,10,烂到不行，谁看谁s13，我现在是s13了，为了不让你们变成sb。提醒你们别看。,https://movie.douban.com/review/10399281
大大大大太阳,2019/8/11 22:26,20,虽然都说烂，可我还是去看了看,https://movie.douban.com/review/10399276
棉花糖,2019/8/11 22:25,40,看不惯,https://movie.douban.com/review/10399274
今吉食品-虾友记,2019/8/11 22:24,10,剧情靠旁白，感觉全程都在对讲，演技不如群演，特效比较欣慰还能看,https://movie.douban.com/review/10399270
Later.,2019/8/11 22:24,10,有史以来看过最烂的科幻片,https://movie.douban.com/review/10399269
Later.,2019/8/11 22:24,10,有史以来看过最烂的科幻片,https://movie.douban.com/review/10399268
Doc.冷面虎,2019/8/11 22:18,30,“上海堡垒”的扑街，是标志着公众电影审美的提高，还是另一个偏见的堡垒？,https://movie.douban.com/review/10399244
西山之巅,2019/8/11 22:14,10,一星都嫌多。拿着上海堡垒的ip，搞成这个样子。干什么，卖情怀?,https://movie.douban.com/review/10399233
80后老少女03,2019/8/11 22:13,20,烂片,https://movie.douban.com/review/10399231
新罗万象,2019/8/11 22:10,10,我的天,https://movie.douban.com/review/10399217
爱和兔子做朋友,2019/8/11 22:07,20,硬要拍成科幻片的爱情片？,https://movie.douban.com/review/10399200
豆友185247698,2019/8/11 22:07,10,上海堡垒怎么洗？,https://movie.douban.com/review/10399195
江尚寒,2019/8/11 22:05,30,以下是本人对上海堡垒电影的观感。待整理。,https://movie.douban.com/review/10399185
鹿憨憨的小迷妹,2019/8/11 22:04,50,上海堡垒不是烂片,https://movie.douban.com/review/10399178
豆友194490110,2019/8/11 22:03,50,算是一部不错的科幻片,https://movie.douban.com/review/10399177
小生怕怕,2019/8/11 22:01,10,抵制垃圾,https://movie.douban.com/review/10399169
突突Plus,2019/8/11 22:00,20,《上海堡垒》有哪些优点？,https://movie.douban.com/review/10399166
id,2019/8/11 21:56,50,上海堡垒,https://movie.douban.com/review/10399156
й ベ小王  。,2019/8/11 21:55,10,垃圾,https://movie.douban.com/review/10399150
雨后的苹果,2019/8/11 21:52,20,一个简单的小学生故事，花了6年时间，请了流量+演技派主演，花了很多钱。,https://movie.douban.com/review/10399144
拼搏的青春,2019/8/11 21:45,10,演员的自我修养,https://movie.douban.com/review/10399106
随便取了个名字,2019/8/11 21:45,10,这个是啥,https://movie.douban.com/review/10399100
Uncle Quan,2019/8/11 21:40,10,就拿20多年前的电影都能把你比下去,https://movie.douban.com/review/10399078
枯否细胞,2019/8/11 21:39,30,观影体验：我应该算是换完债了,https://movie.douban.com/review/10399076
哈根达斯i61982,2019/8/11 21:39,10,一部震撼人心的电影,https://movie.douban.com/review/10399075
小顾,2019/8/11 21:39,10,换个思维看上海堡垒,https://movie.douban.com/review/10399074
芦苇,2019/8/11 21:36,40,上海堡垒，谁TM改成这个怂样？,https://movie.douban.com/review/10399058
伊比lis,2019/8/11 21:36,10,我，流量明星，打钱！,https://movie.douban.com/review/10399053
LUCKY,2019/8/11 21:35,40,上海堡垒真的像网上说的那么差吗？,https://movie.douban.com/review/10399051
Dr.,2019/8/11 21:31,30,观点不同   它不该带上科幻的帽子,https://movie.douban.com/review/10399034
王瑞波,2019/8/11 21:30,10,群众的眼镜是雪亮的,https://movie.douban.com/review/10399025
温子娴,2019/8/11 21:28,20,从上海堡垒我没有看到进步,https://movie.douban.com/review/10399009
豆友201512480,2019/8/11 21:28,20,上海堡垒牛逼,https://movie.douban.com/review/10399008
豆友191713856,2019/8/11 21:26,10,，，,https://movie.douban.com/review/10399004
台风,2019/8/11 21:23,10,《上海堡垒》？《上海停水》。。。,https://movie.douban.com/review/10398992
花冥,2019/8/11 21:08,10,我真的很喜欢鹿晗,https://movie.douban.com/review/10398937
伏线,2019/8/11 21:08,10,上海堡垒让我们看见了中国科幻电影的硬伤,https://movie.douban.com/review/10398935
不搞事情,2019/8/11 21:07,20,不会讲故事的电影 不懂原书的导演,https://movie.douban.com/review/10398933
不搞事情,2019/8/11 21:07,20,不会讲故事的电影 不懂原书的导演,https://movie.douban.com/review/10398932
来自唐朝,2019/8/11 21:03,10,能不能大家都以时俱进，谁都不要再侮辱谁的智商了！,https://movie.douban.com/review/10398915
DRD,2019/8/11 21:03,30,或许我们应该多一份理性和尊重！,https://movie.douban.com/review/10398914
花冥,2019/8/11 20:56,10,我不想看到爱情,https://movie.douban.com/review/10398883
鲸落,2019/8/11 20:53,40,影评,https://movie.douban.com/review/10398869
溜蓮妃?,2019/8/11 20:52,50,值得看,https://movie.douban.com/review/10398867
倍加冰,2019/8/11 20:50,10,垃圾中的战斗机,https://movie.douban.com/review/10398859
喵了个咪咕噜,2019/8/11 20:50,40,上海堡垒还蛮好看，并不像网上说的那么糟,https://movie.douban.com/review/10398856
heisse,2019/8/11 20:50,10,看看宣传了这么久的电影,https://movie.douban.com/review/10398855
豆友195544360,2019/8/11 20:48,10,上海堡垒,https://movie.douban.com/review/10398850
