播放次数,歌单拥有者,歌单标题,歌单连接
34万,龙葵你好,民谣/孤独者的告白,https://music.163.com/playlist/2655670068
37万,Doki少女鹿安然,会有一个你想全力奔向他的人吧,https://music.163.com/playlist/2889962783
16万,Lweihong,民谣集 | 早知道是這樣，如梦一場,https://music.163.com/playlist/2904892417
50万,星夜小咸鱼,流浪的是故乡的你，还是我,https://music.163.com/playlist/2836150028
4103万,小攀哟,华语民谣丨治愈孤独患者的暖心民谣歌单,https://music.163.com/playlist/2324451155
1021万,冬风年来花草青,房东的猫（春酒，热夏，秋酿，知寒）,https://music.163.com/playlist/827164320
124万,坐标原点163,『民谣控』如此恋恋不舍,https://music.163.com/playlist/2737427678
905万,中意陳伊森,那些听不腻的民谣,https://music.163.com/playlist/805664586
155万,大风吹不乱,夜晚的枕头都是眼泪,https://music.163.com/playlist/2526040012
71万,车玖奈,花粥大傻子啊哈哈哈,https://music.163.com/playlist/2424079646
90万,见山便是山啊,苦苦念求写于宣纸.,https://music.163.com/playlist/2471908717
542万,原创君,民谣丨愿你来去自由 无所牵绊,https://music.163.com/playlist/2774445088
546万,来杯秋酿吧,房东的猫/谢春花/陈粒/花粥/Jam,https://music.163.com/playlist/2265717830
122万,净罪的殉仪令,烟嗓民谣：醉放于呢喃细语之中,https://music.163.com/playlist/2747687826
26万,浮世千万里苍穹无数星,隔壁老樊‖樊凯杰 【孤独患者】,https://music.163.com/playlist/2721217514
34万,欢欢酱-,那些耳熟能详的民谣歌曲,https://music.163.com/playlist/2185855215
3383万,mayuko然,你总要一个人，经历些难捱的日子。,https://music.163.com/playlist/919620061
249万,柚OHhhhhhh_,隔壁老樊_樊凯杰,https://music.163.com/playlist/2442027502
36万,我自清欢丨被嫌弃的唐唐的一生,旅途民谣：等不及告别就出发,https://music.163.com/playlist/2697245491
12万,自顾不顾自,民谣【人间喧闹多寂寞】,https://music.163.com/playlist/2520453959
21万,清晨暖阳z,林深时见鹿 老树陪古屋,https://music.163.com/playlist/782440404
25万,听乐府,♪飞鸟啊，那些曾经怀抱的理想,https://music.163.com/playlist/2390875084
1057万,姜轶ing,爱民谣怎么会没故事/隔壁老樊,https://music.163.com/playlist/2521908373
17万,月刊少女kaki酱,民谣情书｜关于爱你这件事,https://music.163.com/playlist/2422402387
81万,无际的公路,青春呼啸而过,https://music.163.com/playlist/2136493774
